SrNo,Name,Role,Country,Base Price (Cr),Status,Sold Price,Sold To,Image,Is Overseas,set,,batter-1
53,Kumar Kushagra,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3101.png,No,9,,
54,Anuj Rawat,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/534.png,No,9,,
55,Tom Banton,Wicket Keeper,England,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,4,,
56,Glenn Phillips,All-Rounder,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/635.png,Yes,5,,
57,Nishant Sindhu,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/791.png,No,10,,
58,Washington Sundar,All-Rounder,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/20.png,No,5,,
59,Mohd. Arshad Khan,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/988.png,No,10,,
60,Sai Kishore,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/544.png,No,10,,
61,Jayant Yadav,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/165.png,No,10,,
62,Jason Holder,All-Rounder,West Indies,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
63,Sai Sudharsan,Batsman,India,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/976.png,No,1,,
64,Shahrukh Khan,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/590.png,No,10,,
65,Kagiso Rabada,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/116.png,Yes,2,,
66,Mohammed Siraj,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/63.png,No,2,,
67,Prasidh Krishna,Bowler,India,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/150.png,No,2,,
68,Manav Suthar,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2443.png,No,8,,
69,Gurnoor Singh Brar,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1231.png,No,7,,
70,Ishant Sharma,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/50.png,No,2,,
71,Ashok Sharma,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
72,Prithvi Raj Yarra,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
73,Luke Wood,Bowler,England,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
74,Rahul Tewatia,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/120.png,No,10,,
75,Rashid Khan,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/218.png,Yes,3,,
76,Ajinkya Rahane,Batsman,India,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/44.png,No,1,,
77,Rinku Singh,Batsman,India,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/152.png,No,1,,
78,Angkrish Raghuvanshi,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/787.png,No,6,,
79,Manish Pandey,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/16.png,No,0,,
80,Cameron Green,All-Rounder,Australia,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
81,Finn Allen,Wicket Keeper,New Zealand,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,4,,
82,Tejasvi Singh,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,9,,
83,Rahul Tripathi,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,1,,
84,Tim Seifert,Wicket Keeper,New Zealand,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
85,Rovman Powell,Batsman,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/329.png,Yes,1,,
86,Anukul Roy,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/160.png,No,10,,
87,Sarthak Ranjan,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
88,Daksh Kamra,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
89,Rachin Ravindra,All-Rounder,New Zealand,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
90,Ramandeep Singh,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/991.png,No,5,,
91,Vaibhav Arora,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/583.png,No,2,,
92,Matheesha Pathirana,Bowler,Sri Lanka,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
93,Kartik Tyagi,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
94,Prashant Solanki,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,8,,
95,Mustafizur Rahman,Bowler,Bangladesh,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
96,Akash Deep,Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,2,,
97,Harshit Rana,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1013.png,No,2,,
98,Umran Malik,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,2,,
99,Sunil Narine,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/156.png,Yes,3,,
100,Varun Chakaravarthy,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/140.png,No,3,,
101,Rishabh Pant,Wicket Keeper,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/18.png,No,4,,
102,Aiden Markram,Batsman,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/287.png,Yes,1,,
103,Himmat Singh,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/203.png,No,6,,
104,Matthew Breetzke,Batsman,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2805.png,Yes,1,,
105,Mukul Choudhary,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,9,,
106,Akshat Raghuwanshi,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,6,,
107,Josh Inglis,Wicket Keeper,Australia,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,4,,
108,Nicholas Pooran,Wicket Keeper,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/136.png,Yes,4,,
109,Mitchell Marsh,All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/40.png,Yes,5,,
110,Abdul Samad,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/525.png,No,10,,
111,Shahbaz Ahamad,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/523.png,No,5,,
112,Arshin Kulkarni,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2788.png,No,10,,
113,Wanindu Hasaranga,All-Rounder,Sri Lanka,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
114,Ayush Badoni,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/985.png,No,10,,
115,Mohammad Shami,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,2,,
116,Avesh Khan,Bowler,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/109.png,No,2,,
117,M. Siddharth,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/532.png,No,8,,
118,Digvesh Singh,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3565.png,No,8,,
119,Akash Singh,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/535.png,No,7,,
120,Prince Yadav,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1225.png,No,7,,
121,Arjun Tendulkar,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
122,Anrich Nortje,Bowler,South Africa,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
123,Naman Tiwari,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
124,Mayank Yadav,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2024/987.png,No,7,,
125,Mohsin Khan,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2024/541.png,No,7,,
126,Rohit Sharma,Batsman,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/6.png,No,0,,
127,Surya Kumar Yadav,Batsman,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/174.png,No,1,,
128,Robin Minz,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3103.png,No,9,,
129,Sherfane Rutherford,Batsman,Overseas,1.5,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,1,,
130,Ryan Rickelton,Wicket Keeper,Overseas,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/743.png,Yes,4,,
131,Quinton de Kock,Wicket Keeper,Overseas,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,0,,
132,Danish Malewar,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,6,,
133,N. Tilak Varma,Batsman,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/993.png,No,1,,
134,Hardik Pandya,All-Rounder,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/54.png,No,0,,
135,Naman Dhir,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3107.png,No,5,,
136,Mitchell Santner,All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/75.png,Yes,5,,
137,Raj Angad Bawa,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/781.png,No,10,,
138,Atharva Ankolekar,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
139,Mayank Rawat,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,10,,
140,Corbin Bosch,All-Rounder,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
141,Will Jacks,All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
142,Shardul Thakur,All-Rounder,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,5,,
143,Trent Boult,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/66.png,Yes,2,,
144,Mayank Markande,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,8,,
145,Deepak Chahar,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/91.png,No,2,,
146,Ashwani Kumar,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3569.png,No,7,,
147,Raghu Sharma,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3869.png,No,8,,
148,Mohammad Izhar,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
149,Allah Ghazanfar,Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,3,,
150,Jasprit Bumrah,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/9.png,No,0,,
151,Shreyas Iyer,Batsman,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,No,1,,
152,Nehal Wadhera,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1541.png,No,6,,
153,Vishnu Vinod,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/581.png,No,9,,
154,Harnoor Pannu,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/784.png,No,6,,
155,Pyla Avinash,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3573.png,No,6,,
156,Prabhsimran Singh,Wicket Keeper,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/137.png,No,9,,
157,Shashank Singh,Batsman,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/191.png,No,6,,
158,Marcus Stoinis,All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/23.png,Yes,5,,
159,Harpreet Brar,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/130.png,No,10,,
160,Marco Jansen,All-Rounder,Overseas,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/586.png,Yes,5,,
161,Azmatullah Omarzai,All-Rounder,Overseas,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1354.png,Yes,5,,
162,Priyansh Arya,All-Rounder,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3571.png,No,10,,
163,Musheer Khan,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2813.png,No,10,,
164,Suryansh Shedge,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2146.png,No,10,,
165,Mitch Owen,Batsman,Overseas,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3870.png,Yes,1,,
166,Cooper Connolly,All-Rounder,Australia,1,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
167,Ben Dwarshuis,All-Rounder,Australia,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
168,Arshdeep Singh,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/125.png,No,2,,
169,Yuzvendra Chahal,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/10.png,No,0,,
170,Vyshak Vijaykumar,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2034.png,No,7,,
171,Yash Thakur,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1550.png,No,7,,
172,Xavier Bartlett,Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3572.png,Yes,2,,
173,Pravin Dubey,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/548.png,No,8,,
174,Vishal Nishad,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,8,,
175,Lockie Ferguson,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,2,,
176,Shubham Dubey,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3112.png,No,6,,
177,Vaibhav Suryavanshi,Batsman,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/3498.png,No,6,,
178,Donovan Ferreira,Wicket Keeper,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,4,,
179,Lhuan-dre Pretorius,Batsman,Overseas,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/2827.png,Yes,6,,
180,Ravi Singh,Wicket Keeper,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,9,,
181,Aman Rao Perala,Batsman,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,6,,
182,Shimron Hetmyer,Batsman,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/210.png,Yes,1,,
183,Yashasvi Jaiswal,Batsman,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/533.png,No,1,,
184,Dhruv Jurel,Wicket Keeper,India,1,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1004.png,No,4,,
185,Riyan Parag,Batsman,India,1.25,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/189.png,No,1,,
186,Yudhvir Singh Charak,All-Rounder,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/587.png,No,10,,
187,Ravindra Jadeja,All-Rounder,India,0.2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,0,,
188,Sam Curran,All-Rounder,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,Yes,5,,
189,Jofra Archer,Bowler,Overseas,2,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/181.png,Yes,2,,
190,Tushar Deshpande,Bowler,India,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/539.png,No,7,,
191,Kwena Maphaka,Bowler,Overseas,0.75,AVAILABLE,,,https://documents.iplt20.com/ipl/IPLHeadshot2025/801.png,Yes,2,,
192,Ravi Bishnoi,Bowler,India,2,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,3,,
193,Sushant Mishra,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,7,,
194,Yash Raj Punja,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,8,,
195,Vignesh Puthur,Bowler,India,0.3,AVAILABLE,,,https://documents.iplt20.com/ipl/assets/images/Default-Men.png,No,8,,
